date,day_of_week,month,day_of_year,is_weekend,electricity_kwh,natural_gas_m3,vehicle_km,vehicle_type,fuel_consumed,public_transport_km,waste_kg,recycling_rate,water_liters,diet_type,electricity_emission,gas_emission,vehicle_emission,transport_emission,waste_emission,water_emission,diet_emission,total_emission_kg_co2e,temperature_factor,user_id,household_size,home_size_sqm,income_level,environmental_awareness
2022-01-01,5,1,1,True,13.552110541194704,5.861735698828816,13.238442690503462,petrol,0.8769115421303435,7.046059712816051,2.389606407753696,0.20823379771832098,143.02304187458725,vegan,12.467941697899128,31.067199203792722,2.0256656623210936,0.9864483597942473,0.9460047952075545,0.04290691256237617,1.5,50.66633790455022,1.0051640068467504,58,2,74.7207384138438,medium,0.8651584364787259
2022-01-02,6,1,2,True,10.381283399771341,5.474830192821853,7.143099171229292,petrol,0.5520029944609223,2.1518343245057903,2.0082225404756637,0.25579754426081674,74.28372007152417,omnivore,9.550780727789634,29.016600021955817,1.2751269172047304,0.3012568054308107,0.7472620731463852,0.02228511602145725,2.5,42.83314416685225,1.0103264834868237,55,1,132.76991156888974,medium,0.8261171004704932
2022-01-03,0,1,3,False,19.629234809269303,7.274223699513464,30.54022563750339,petrol,1.8891577816671592,2.1505036275730864,1.4245032112888487,0.2260206371941118,161.27094055037017,vegan,18.05889602452776,38.55338560742136,4.363954475651138,0.30107050786023215,0.5512680438941423,0.04838128216511105,1.5,66.3279900260324,1.015485900166976,18,2,195.90301797396432,low,0.548590545077079
2022-01-04,1,1,4,False,13.508849370292705,8.44743982104664,32.32827201009746,petrol,2.097507730673614,3.7288805194507213,1.7331755980787567,0.5637281608315128,149.8341641303962,omnivore,12.428141420669288,44.77143105154719,4.845242857856048,0.522043272723101,0.378067852887881,0.044950249239118854,2.5,66.55423314133711,1.020640728040696,50,5,187.08083020090567,medium,0.8224000042580736
2022-01-05,2,1,5,False,16.013432379332777,5.540329876120224,19.374511608812554,electric,1.7631834919120157,5.393722471738247,2.3692332899977053,0.2353970008207678,155.1410484356991,omnivore,14.732357788986155,29.363748343437187,1.6221288125590545,0.7551211460433547,0.9057614396437625,0.04654231453070973,2.5,47.65517707712703,1.025789439621234,59,1,92.59292183672568,low,0.6280329921926663
2022-01-06,3,1,6,False,12.436701609918133,5.916705786463113,36.18960333466946,petrol,2.578052538824414,3.9237166766740805,1.4347238476592166,0.5208787923016158,154.03286647884065,omnivore,11.441765481124683,31.358540668254495,5.955301364684397,0.5493203347343714,0.3437033113020782,0.04620985994365219,2.5,54.736139645103684,1.0309305092342305,15,1,196.48521460471764,low,0.9335919126140173
2022-01-07,4,1,7,False,13.51017020112921,8.111676288840869,38.24799617996761,diesel,2.4081621530649575,6.862560238232398,1.5803912383886807,0.5452413703502375,140.72362872446357,omnivore,12.429356585038873,42.9918843308566,6.4538745702140865,0.9607584333525357,0.3593482769400638,0.04221708861733907,2.5,64.62580620259692,1.0360624134698058,99,3,170.82765986721003,medium,0.34543410282672504
2022-01-08,5,1,8,True,11.96100721579579,5.589616691313699,15.898581723503504,diesel,1.5181318751695465,2.2035841210886433,1.0810850617422592,0.485297914889198,117.72588764915443,vegetarian,11.004126638532128,29.624968463962603,4.0685934254543845,0.3085017769524101,0.27821836773044045,0.035317766294746325,1.7,47.30785014559289,1.0411836316339795,4,3,68.59932019184681,medium,0.8348598593290582
2022-01-09,6,1,9,True,12.448033637061558,7.564643655814006,-3.0987255204487223,petrol,-0.19929656795739464,5.643805008750448,1.6435235341190857,0.32574239243053066,111.02977948602398,omnivore,11.452190946096634,40.09261137581423,-0.4603750719815816,0.7901327012250627,0.5540791230496269,0.033308933845807194,2.5,57.20201274302479,1.0462926461992843,38,5,182.06925333378683,medium,0.9618236343389925
2022-01-10,0,1,10,False,14.167569787796133,6.004946129185664,23.685933370416638,petrol,1.6956773465328754,6.4874225675424535,2.2507241657624024,0.548584236075087,184.74559958796084,vegetarian,13.034164204772443,31.82621448468402,3.9170146704909423,0.9082391594559436,0.5080061843359487,0.05542367987638825,1.7,50.32082322723346,1.0513879432544433,64,5,129.78364249147864,medium,0.02493823483402624
